priority,wave,city_focus,company,kind,best_email,alt_email,phone,whatsapp_or_text,contact_page,linkedin_company,named_public_contact,public_title,hq_or_office,website,source,notes
1,National,NYC; LA; SF; Chicago; Boston; DC; Austin,Outpost Club (OJH / June Homes merge),Co-living,info@outpost.me,bookings@outpost-club.com; customer.service@outpost-club.com,+1-833-707-6611,,https://outpost-club.com/partner-with-us,https://www.linkedin.com/company/outpost-club,Sergii Starostin,CEO,"PO Box 243, New Milford, NJ 07646",https://outpost.me,outpost.me footer; BBB; partner-with-us,Largest US coliving operator. Partner page + info@ is the landlord/BD door. Do not use customer.service for first outreach.
1,National,NYC; LA; SF; Chicago; Boston; DC; Austin,June Homes (OJH),Co-living / property management,welcome@junehomes.com,accounting@junehomes.com,+1-888-604-6697,,https://junehomes.com/property-owners,https://www.linkedin.com/company/june-homes,Mauricio Zuniga,President (post-merger),"164 W 25th St, New York, NY 10001 (listed)",https://junehomes.com,junehomes.com/property-owners,Same company as Outpost after 2025 merger. Owner page is the right inbox.
1,National,All 11 cities,Blueground,Furnished 30-day+,salespartnernetwork@theblueground.com,partners@theblueground.com; danp@theblueground.com; partnerships@theblueground.com; press@theblueground.com,,,https://www.theblueground.com/rent-your-property/usa,https://www.linkedin.com/company/blueground-co,Dan Palermo,Director of Real Estate (US landlords),New York / global,https://www.theblueground.com,Blueground Partner Network + US landlord page,danp@ is published for US landlords/developers. salespartnernetwork@ is for operators joining their booking network. press@ is media only.
2,NYC week 1,NYC / Jersey City,SILVERMAN (Jersey City),Multifamily owner (some furnished),info@silvermanbuilding.com,,+1-201-435-8000,,https://silvermanbuilding.com/contact/,https://www.linkedin.com/company/silverman-building,Paul Silverman / Eric Silverman,Principals (public on site),"201 Montgomery St Suite 261, Jersey City, NJ 07302",https://silvermanbuilding.com,silvermanbuilding.com/contact,Not a coliving operator — downtown Jersey City landlord with some furnished units. Use info@ + leasing office. Ask for ownership / asset management.
1,National,All 11 cities,Synergy Global Housing (SilverDoor),Corporate furnished / supplier network,reservations@synergyhousing.com,,+1-925-807-1155; +1-800-600-1115,,https://www.synergyhousing.com/contact-us/,https://www.linkedin.com/company/synergy-global-housing,,,,"Americas HQ (Concord / Bay Area CA listed)",https://www.synergyhousing.com,synergyhousing.com/contact-us + supplier page,reservations@ is the published Americas inbox. Become-a-partner is a form on synergyhousing.com/synergy-property-management. Merged with SilverDoor. Use contact form for “Become a Synergy Property Partner”.
2,NYC week 1,NYC; Boston; Chicago; Miami; DC; Austin,Fllat,Co-living,csnyc@fllat.com,booking@fllat.com; csboston@fllat.com; cschicago@fllat.com; csmiami@fllat.com,+1-724-995-2326 (NYC),,https://fllat.com/support,https://www.linkedin.com/company/fllat-com,,,,New York,https://fllat.com,fllat.com/support,City CS inboxes: Boston +1-518-318-9442 csboston@; Chicago +1-575-213-1873 cschicago@; Miami +1-734-280-3308 csmiami@. These are support lines — ask to be forwarded to partnerships/owners.
2,NYC week 1,NYC,Nooklyn,Rooms + apartment brokerage,hi@nooklyn.com,help@nooklyn.com,+1-347-318-3595,,https://nooklyn.com,https://www.linkedin.com/company/nooklyn,,,,"28 Scott Ave Suite 106, Brooklyn, NY 11237",https://nooklyn.com,LinkedIn company + public help emails,Not an operator of beds — they sit in front of Brooklyn landlords. Pitch listing distribution for their owner accounts.
2,NYC week 1,NYC,Outsite,Nomad / 30-day+ coliving,sourcing@outsite.co,rebecca@outsite.co,,,https://www.outsite.co/real-estate-partners,https://www.linkedin.com/company/outsite,,,,"",https://www.outsite.co,outsite.co real-estate-partners + help center,sourcing@ is published for real-estate. rebecca@ is marketing partnerships — use sourcing@ for inventory.
2,NYC week 1,NYC; Boston; LA; Philly; DC,AKA Hotels + Residences,Extended stay / furnished residences,,,+1-888-252-0150 (Central Park); +1-646-744-3100; +1-212-764-5700 (Times Square),,https://www.stayaka.com/contact,https://www.linkedin.com/company/aka-hotelshotel-residences,,,,"AKA Central Park 42 W 58th St New York NY 10019",https://www.stayaka.com,stayaka.com/contact,No general partnerships@ published. Use property phones + contact form. NYC: Times Square 123 W 44th +1-212-764-5700; Sutton Place +1-212-752-8888; Nomad +1-212-448-7000. Boston Common +1-888-214-7555. LA Beverly Hills +1-310-385-1924. Philly Rittenhouse +1-215-825-7000. DC White House +1-202-904-2500.
2,NYC week 1,NYC; NJ; CT,Churchill Living,Corporate furnished,info@churchillliving.com,,+1-800-941-7458; HQ +1-973-636-9400,,https://www.churchillcorp.com/about-us,https://www.linkedin.com/company/churchill-living,Chris Annunziata (public on Churchill apartments site),VP Business Development,"56 Utter Ave, Hawthorne, NJ 07506",https://www.churchillcorp.com,churchillcorp.com/about-us,National furnished apartments. Use info@ + 800 line and ask for business development / supply.
2,NYC week 1,National / DC metro,BridgeStreet,Corporate furnished / serviced apts,,,+1-800-278-7338; +1-571-481-2700,,https://www.bridgestreet.com,https://www.linkedin.com/company/bridgestreet-residences-serviced-apartments-and-suites,,,,"11180 Sunrise Valley Dr Suite 400, Reston, VA 20191",https://www.bridgestreet.com,LinkedIn company + historic HQ listings,Brand has changed owners (Domo/Accor mentions). Call 800 number; do not rely on guessed @bridgestreet.com names.
2,NYC week 1,US leftover Habyt/Common buildings,Habyt,Co-living (global; US remnants),expansion@habyt.com,,,https://habyt.com/contact,https://www.linkedin.com/company/habyt,,,,"Berlin HQ; US presence historically NYC/LA/Chicago/DC/Austin",https://habyt.com,Habyt company presentation + contact,Common US is bankrupt. expansion@ is published for landlord/expansion. Ask who currently operates remaining US buildings (often Outpost).
3,City,Boston,Furnished Quarters Boston,Corporate furnished,corporatesales@furnishedquarters.com,,+1-617-236-4908,,https://www.furnishedquarters.com/contact,https://www.linkedin.com/company/furnished-quarters,,,,"50 Terminal St, Charlestown, MA 02129",https://www.furnishedquarters.com,FQ contact page,Same company as NYC HQ. Call the Boston office for local inventory.
3,City,San Francisco,Furnished Quarters San Francisco,Corporate furnished,corporatesales@furnishedquarters.com,,+1-415-767-1210,,https://www.furnishedquarters.com/contact,https://www.linkedin.com/company/furnished-quarters,,,,"1316 Folsom St, San Francisco, CA 94103",https://www.furnishedquarters.com,FQ contact page,Local office line for Bay Area buildings.
3,City,Boston,Fllat Boston,Co-living,csboston@fllat.com,,+1-518-318-9442,,https://fllat.com/support,https://www.linkedin.com/company/fllat-com,,,,Boston,https://fllat.com,fllat.com/support,Ask for owner/partnerships transfer.
3,City,Chicago,Fllat Chicago,Co-living,cschicago@fllat.com,,+1-575-213-1873,,https://fllat.com/support,https://www.linkedin.com/company/fllat-com,,,,Chicago,https://fllat.com,fllat.com/support,Ask for owner/partnerships transfer.
3,City,Miami,Fllat Miami,Co-living,csmiami@fllat.com,,+1-734-280-3308,,https://fllat.com/support,https://www.linkedin.com/company/fllat-com,,,,Miami,https://fllat.com,fllat.com/support,Ask for owner/partnerships transfer.
3,City,Seattle,National Corporate Housing Seattle,Corporate furnished,websales@nationalcorporatehousing.com,,+1-303-863-7002,,https://www.nationalcorporatehousing.com,https://www.linkedin.com/company/national-corporate-housing,,,,"2444 1st Ave S, Seattle, WA 98134 (listed office)",https://www.nationalcorporatehousing.com,NCH LinkedIn locations,Use national sales inbox and mention Seattle inventory.
3,City,Philadelphia,AKA University City / Rittenhouse,Extended stay,phlsales@stayaka.com,,+1-215-372-9000; +1-215-825-7000,,https://www.stayaka.com/contact,https://www.linkedin.com/company/aka-hotelshotel-residences,,,,"2929 Walnut St; 135 S 18th St Philadelphia",https://www.stayaka.com,stayaka.com/contact + meetings page,phlsales@ is published for Philadelphia events/sales — usable as a local BD door.
